CO_GRUPO;IdPersona;FE_ALTA;Monto;Fe_castigo;Monto_castigado
0155;5574199;23/10/2021;687.00;;
11U6;5576699;06/12/2021;2987.00;;
0289;5583810;19/09/2021;1087.00;;
0419;5593769;15/02/2021;758.00;;
0419;5593785;30/11/2021;1587.00;;
0419;5593819;11/12/2021;1587.00;;
2305;5597976;24/12/2021;2987.00;;
1FHQ;5605423;17/05/2021;758.00;;
1FHQ;5605423;13/05/2021;758.00;;
1DVW;5630587;14/11/2021;3387.00;;
1DVW;5630587;24/05/2021;987.00;;
4505;5656962;16/07/2021;687.00;;
4505;5657341;23/07/2021;1087.00;;
1870;5661350;04/09/2021;587.00;;
0842;5672944;02/12/2021;1587.00;;
5460;5678206;01/05/2021;4058.00;;
2139;5695770;02/12/2021;2887.00;;
0SLE;5707690;03/08/2021;787.00;;
4687;5712039;09/03/2021;1058.00;;
0108;5722285;03/08/2021;3087.00;;
0063;5766498;19/11/2021;1087.00;;
5233;5774740;07/02/2021;558.00;;
0P7P;5782552;15/12/2021;2787.00;;
0P7P;5782552;04/01/2021;1158.00;;
0221;5788088;11/01/2021;1058.00;;
11VR;5797857;28/01/2021;758.00;;
0NO4;5797881;02/03/2021;658.00;;
0248;5826284;04/06/2021;1587.00;;
1518;5831821;11/03/2021;658.00;;
2305;5854609;04/01/2021;2258.00;;
2317;5857594;15/01/2021;1858.00;;
4856;5861570;29/10/2021;1487.00;;
0289;5875521;04/12/2021;1187.00;;
4948;5877998;09/08/2021;2087.00;;
2305;5884671;21/03/2021;4058.00;07/05/2021;4052.19
1FWF;5885629;04/12/2021;587.00;;
16X6;5938485;07/01/2021;558.00;;
5036;5941059;18/12/2021;1287.00;;
2305;5941224;18/12/2021;2687.00;;
5034;5945845;22/09/2021;3287.00;;
5034;5945951;31/10/2021;2187.00;;
5034;5945951;14/03/2021;1558.00;;
11AY;5953880;17/08/2021;587.00;;
0TQH;5953955;23/02/2021;758.00;;
2305;5976527;26/11/2021;687.00;;
2305;5976527;27/10/2021;587.00;;
2305;5976527;09/03/2021;1058.00;;
4774;5986138;18/01/2021;1358.00;;
4774;5986369;26/01/2021;1358.00;;
0256;5989447;20/12/2021;587.00;;
0TY3;5993712;03/02/2021;558.00;;
5074;6007686;31/10/2021;4087.00;;
2305;6010466;28/12/2021;6587.00;;
2305;6010466;09/08/2021;1087.00;;
2980;6021497;14/03/2021;558.00;;
07R3;6026611;17/07/2021;2087.00;;
5233;6031330;23/09/2021;787.00;;
5233;6032163;27/08/2021;2787.00;;
5233;6032163;15/01/2021;2658.00;;
5233;6032171;11/03/2021;558.00;;
5233;6033633;08/01/2021;758.00;;
5233;6033740;09/01/2021;1058.00;;
5233;6033740;01/01/2021;1058.00;;
5193;6047112;29/11/2021;1087.00;;
2150;6077580;31/01/2021;758.00;;
5259;6079461;12/04/2021;658.00;;
1AZQ;6084446;24/05/2021;1587.00;;
1AZQ;6084776;21/05/2021;658.00;;
1AZQ;6085138;24/09/2021;2087.00;;
5234;6113542;13/04/2021;3758.00;;
2166;6117006;17/01/2021;1558.00;;
1874;6133318;08/01/2021;658.00;;
5328;6148969;02/08/2021;1287.00;;
5328;6148969;10/03/2021;1058.00;;
0VMR;6149272;05/11/2021;5587.00;;
0VMR;6149272;31/05/2021;2787.00;;
5368;6149512;15/02/2021;1758.00;;
5368;6149512;03/01/2021;1758.00;;
6782;6177356;14/01/2021;1358.00;;
0SX0;6198139;31/12/2021;1987.00;;
5052;6205918;05/09/2021;587.00;;
5052;6205918;31/07/2021;787.00;;
1BCJ;6214563;05/03/2021;4058.00;;
0X8T;6235709;13/01/2021;2258.00;;
0X8T;6235774;25/01/2021;1458.00;;
0X8T;6235881;29/12/2021;2087.00;;
0X8T;6235881;08/01/2021;2558.00;;
0X8T;6236012;24/01/2021;1758.00;;
4496;6240196;26/09/2021;1087.00;;
4505;6246268;31/05/2021;587.00;;
0419;6250138;18/09/2021;1087.00;;
0419;6250138;31/07/2021;1687.00;;
5528;6251979;07/12/2021;1087.00;;
5528;6251979;10/10/2021;987.00;;
2213;6255483;15/12/2021;2387.00;;
2213;6255483;22/10/2021;1387.00;;
2340;6257638;15/09/2021;5087.00;;
2166;6260384;09/05/2021;1358.00;;
1AZQ;6313100;15/12/2021;1187.00;;
4496;6322705;12/12/2021;887.00;;
0108;6331490;07/12/2021;1287.00;;
1I3R;6345839;30/10/2021;887.00;;
5447;6361141;15/01/2021;1558.00;;
5460;6363808;01/12/2021;6587.00;;
5460;6363808;26/04/2021;4058.00;;
5460;6363816;10/04/2021;1558.00;;
1132;6372916;30/05/2021;887.00;;
5700;6374334;09/08/2021;1087.00;;
0QJR;6379176;14/11/2021;6087.00;;
5742;6400196;09/01/2021;558.00;;
5597;6404867;16/12/2021;2387.00;;
5597;6404966;01/12/2021;2887.00;;
5597;6405112;31/12/2021;2487.00;;
5597;6405112;05/02/2021;3358.00;;
5597;6405112;16/01/2021;1758.00;;
1B7K;6419584;20/03/2021;1458.00;;
5460;6429294;12/09/2021;1287.00;;
5460;6429344;14/01/2021;4058.00;;
0662;6433577;09/08/2021;987.00;;
0616;6435762;05/06/2021;587.00;;
0108;6444756;15/01/2021;3058.00;;
1DV6;6458855;17/07/2021;587.00;;
5629;6473490;17/12/2021;3087.00;;
5916;6482384;06/12/2021;1287.00;;
5916;6482426;20/11/2021;2087.00;;
5916;6482426;11/03/2021;1058.00;;
2305;6488134;13/02/2021;2158.00;;
0115;6500094;02/12/2021;787.00;;
5916;6505465;23/04/2021;2058.00;;
5963;6508873;05/01/2021;2458.00;;
5974;6521546;11/12/2021;887.00;;
194M;6530612;29/11/2021;687.00;;
5963;6535694;01/12/2021;3387.00;;
5963;6535694;07/02/2021;2958.00;;
5297;6559652;07/10/2021;587.00;;
5916;6567655;17/09/2021;1887.00;;
5916;6567655;28/01/2021;4058.00;;
5916;6567655;15/01/2021;4058.00;;
0452;6602692;15/01/2021;558.00;;
0861;6602759;19/04/2021;1158.00;;
3638;6603468;14/09/2021;1087.00;;
134N;6604250;27/12/2021;1587.00;;
13QO;6625941;04/08/2021;1487.00;;
0NHH;6627327;21/09/2021;1587.00;;
0616;6631048;09/10/2021;687.00;;
3855;6632483;02/02/2021;958.00;;
0108;6634216;01/10/2021;3587.00;;
3498;6644579;23/09/2021;2487.00;;
1AZI;6657431;26/03/2021;2858.00;;
0748;6662530;28/09/2021;1187.00;;
0108;6681241;23/03/2021;3058.00;;
1870;6715809;07/09/2021;1087.00;;
2163;6716070;04/11/2021;1587.00;;
0254;6721542;29/07/2021;6587.00;;
6275;6732317;27/12/2021;787.00;;
6275;6732820;22/10/2021;587.00;;
6258;6732853;30/09/2021;1087.00;;
0298;6740997;17/06/2021;4087.00;;
1AIF;6753263;18/02/2021;2358.00;;
6286;6753487;31/07/2021;987.00;;
6220;6761555;04/08/2021;587.00;;
0PR6;6783716;19/02/2021;1558.00;;
4442;6789465;02/02/2021;858.00;;
8300;6795363;31/01/2021;1258.00;;
0Z67;6795900;07/02/2021;4058.00;;
6275;6798532;21/12/2021;1287.00;;
4505;6807580;04/11/2021;4987.00;;
1FRA;6825210;12/09/2021;587.00;;
1BM3;6826291;15/10/2021;687.00;;
0UWD;6841472;18/01/2021;2158.00;;
6415;6841555;06/05/2021;1658.00;;
6411;6841670;04/12/2021;887.00;;
6412;6841696;06/06/2021;2687.00;;
6410;6842041;14/03/2021;558.00;;
6436;6847255;02/08/2021;987.00;;
5979;6860340;04/11/2021;1287.00;;
5979;6860340;27/03/2021;858.00;;
5979;6860340;19/03/2021;858.00;;
5979;6861603;29/11/2021;1287.00;;
5979;6861611;16/09/2021;1087.00;;
6413;6866214;12/12/2021;587.00;;
6502;6866420;17/12/2021;2487.00;;
6502;6866842;15/01/2021;2358.00;;
6502;6866958;16/02/2021;1758.00;;
6502;6867204;01/12/2021;2487.00;;
5383;6885685;01/06/2021;887.00;;
0ZRN;6886998;04/11/2021;1087.00;;
0ZRN;6886998;06/09/2021;587.00;;
9762;6892277;06/11/2021;787.00;;
3860;6913370;05/06/2021;1687.00;;
2257;6918932;09/09/2021;2087.00;;
2257;6918932;19/08/2021;2087.00;;
1B7K;6919302;19/03/2021;958.00;;
9757;6932958;11/12/2021;987.00;;
3638;6938898;25/11/2021;2487.00;;
3638;6938898;15/03/2021;2058.00;;
3638;6938906;15/01/2021;1858.00;;
3638;6938914;16/01/2021;1758.00;;
5074;6939011;17/02/2021;2658.00;;
0S2T;6942783;20/01/2021;1458.00;;
0S2T;6942783;02/01/2021;1458.00;;
14NO;6953632;04/10/2021;2487.00;;
1FZ9;6968689;03/08/2021;2887.00;;
0108;6975932;04/01/2021;4058.00;;
2740;6983134;11/06/2021;1087.00;;
0419;6990816;16/11/2021;2087.00;;
0254;6991376;12/02/2021;4058.00;;
0254;6991376;05/02/2021;4058.00;;
0WNN;7007651;10/04/2021;958.00;;
6697;7014897;15/02/2021;558.00;;
6028;7017643;03/12/2021;1887.00;;
6711;7024763;02/02/2021;1058.00;;
5232;7034242;10/01/2021;558.00;;
3429;7038672;08/02/2021;1358.00;;
0108;7041502;11/07/2021;2587.00;;
0335;7061153;24/05/2021;4087.00;;
9889;7062581;12/08/2021;1587.00;;
1518;7094352;07/11/2021;1287.00;;
1518;7094378;18/10/2021;2587.00;;
1518;7094378;16/01/2021;2558.00;;
2305;7096225;09/10/2021;1287.00;26/11/2021;1280.45
2305;7096225;05/01/2021;1458.00;;
5460;7101751;03/03/2021;2458.00;;
1BVJ;7109333;11/12/2021;6587.00;;
2600;7113939;14/01/2021;558.00;;
1265;7118276;26/08/2021;2887.00;;
1265;7118276;10/07/2021;2387.00;;
2305;7129299;08/07/2021;2587.00;;
4505;7129745;06/06/2021;887.00;;
4505;7130404;30/10/2021;1087.00;;
4505;7130834;27/11/2021;1487.00;;
4505;7131030;20/11/2021;1587.00;;
6617;7145139;16/01/2021;1658.00;05/03/2021;1605.78
6617;7146558;18/01/2021;1758.00;05/03/2021;1743.78
6793;7165681;27/12/2021;887.00;;
6795;7166028;11/02/2021;1958.00;;
0335;7169485;06/07/2021;3487.00;;
6780;7171812;11/02/2021;2058.00;;
0ND1;7203292;22/09/2021;1187.00;;
0021;7211436;20/07/2021;687.00;;
6584;7218290;01/02/2021;1058.00;;
7016;7230204;10/01/2021;3358.00;;
9572;7239916;17/12/2021;1687.00;;
9572;7239916;06/01/2021;1258.00;;
6991;7244650;21/11/2021;587.00;;
6991;7244650;02/08/2021;587.00;;
6991;7244981;27/12/2021;787.00;;
6991;7244981;01/08/2021;587.00;;
6991;7246374;14/11/2021;587.00;;
6410;7251325;09/01/2021;558.00;;
7085;7267784;07/02/2021;558.00;;
0083;7271885;09/10/2021;1087.00;;
6411;7274855;23/07/2021;587.00;;
6411;7275373;19/07/2021;587.00;;
0234;7279797;04/12/2021;987.00;;
0108;7292014;03/05/2021;558.00;;
1870;7293020;28/12/2021;1887.00;;
1870;7293020;30/11/2021;1887.00;;
3638;7306251;02/01/2021;1358.00;;
